rank,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
1,109.45,28.53,121,135,124,216,185,195,318,346,324,531,155,216,62,62,62,201,188,193,481,466,483,434,117,200,108.352300652142,75.5267485085486,15.1847703902201,7.51542698445545,2.2433908425871,0.906548075392427,K. Warm temperate and mesic,K,K11
2,111.6,30.64,130,146,132,192,145,154,232,287,237,180,117,133,66,68,67,352,318,355,417,395,408,186,124,129,88.235633781244,64.1349080707214,17.0632186429254,8.14743637979221,2.51637934764911,1.07657349674038,K. Warm temperate and mesic,K,K11
3,111.6,30.64,130,146,132,192,145,154,232,287,237,180,117,133,66,68,67,352,318,355,417,395,408,186,124,129,88.235633781244,64.1349080707214,17.0632186429254,8.14743637979221,2.51637934764911,1.07657349674038,K. Warm temperate and mesic,K,K11
4,111.6,30.64,130,146,132,192,145,154,232,287,237,180,117,133,66,68,67,352,318,355,417,395,408,186,124,129,88.235633781244,64.1349080707214,17.0632186429254,8.14743637979221,2.51637934764911,1.07657349674038,K. Warm temperate and mesic,K,K11
5,111.6,30.64,130,146,132,192,145,154,232,287,237,180,117,133,66,68,67,352,318,355,417,395,408,186,124,129,88.235633781244,64.1349080707214,17.0632186429254,8.14743637979221,2.51637934764911,1.07657349674038,K. Warm temperate and mesic,K,K11
6,11.33,3.5,118,122,119,147,98,120,357,460,400,402,165,265,49,50,49,542,452,504,100,88,96,467,102,200,155.162359002678,95.1523099664717,24.0232761810566,0.736377613695532,2.74568970792595,0.357075609570386,R. Extremely hot and moist,R,R1
7,11.33,3.5,118,122,119,147,98,120,357,460,400,402,165,265,49,50,49,542,452,504,100,88,96,467,102,200,155.162359002678,95.1523099664717,24.0232761810566,0.736377613695532,2.74568970792595,0.357075609570386,R. Extremely hot and moist,R,R1
8,11.33,3.5,118,122,119,147,98,120,357,460,400,402,165,265,49,50,49,542,452,504,100,88,96,467,102,200,155.162359002678,95.1523099664717,24.0232761810566,0.736377613695532,2.74568970792595,0.357075609570386,R. Extremely hot and moist,R,R1
9,11.33,3.5,118,122,119,147,98,120,357,460,400,402,165,265,49,50,49,542,452,504,100,88,96,467,102,200,155.162359002678,95.1523099664717,24.0232761810566,0.736377613695532,2.74568970792595,0.357075609570386,R. Extremely hot and moist,R,R1
10,11.33,3.5,118,122,119,147,98,120,357,460,400,402,165,265,49,50,49,542,452,504,100,88,96,467,102,200,155.162359002678,95.1523099664717,24.0232761810566,0.736377613695532,2.74568970792595,0.357075609570386,R. Extremely hot and moist,R,R1
